"","Date","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"3","10-03-2020","Andhra Pradesh","0","0","0","0",0
"4","10-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"5","10-03-2020","Arunachal Pradesh","0","0","0","0",0
"6","10-03-2020","Assam","0","0","0","0",0
"7","10-03-2020","Bihar","0","0","0","0",0
"8","10-03-2020","Chandigarh","0","0","0","0",0
"9","10-03-2020","Chhattisgarh","0","0","0","0",0
"10","10-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"11","10-03-2020","Delhi","4","0","0","0",4
"12","10-03-2020","Goa","0","0","0","0",0
"13","10-03-2020","Gujarat","0","0","0","0",0
"14","10-03-2020","Haryana","0","14","0","0",14
"15","10-03-2020","Himachal Pradesh","0","0","0","0",0
"16","10-03-2020","Jammu and Kashmir","1","0","0","0",1
"17","10-03-2020","Jharkhand","0","0","0","0",0
"18","10-03-2020","Karnataka","1","0","0","0",1
"19","10-03-2020","Kerala","9","0","0","0",9
"20","10-03-2020","Lakshadweep","0","0","0","0",0
"21","10-03-2020","Ladakh","2","0","0","0",2
"22","10-03-2020","Madhya Pradesh","0","0","0","0",0
"23","10-03-2020","Maharashtra","2","0","0","0",2
"24","10-03-2020","Manipur","0","0","0","0",0
"25","10-03-2020","Meghalaya","0","0","0","0",0
"26","10-03-2020","Mizoram","0","0","0","0",0
"27","10-03-2020","Nagaland","0","0","0","0",0
"28","10-03-2020","Odisha","0","0","0","0",0
"29","10-03-2020","Puducherry","0","0","0","0",0
"30","10-03-2020","Punjab","1","0","0","0",1
"31","10-03-2020","Rajasthan","0","2","0","0",2
"32","10-03-2020","Sikkim","0","0","0","0",0
"33","10-03-2020","Tamil Nadu","1","0","0","0",1
"34","10-03-2020","Telengana","1","0","0","0",1
"35","10-03-2020","Tripura","0","0","0","0",0
"36","10-03-2020","Uttarakhand","0","0","0","0",0
"37","10-03-2020","Uttar Pradesh","9","0","0","0",9
"38","10-03-2020","West Bengal","0","0","0","0",0
"39","11-03-2020","Andhra Pradesh","0","0","0","0",0
"41","11-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"51","11-03-2020","Arunachal Pradesh","0","0","0","0",0
"61","11-03-2020","Assam","0","0","0","0",0
"71","11-03-2020","Bihar","0","0","0","0",0
"81","11-03-2020","Chandigarh","0","0","0","0",0
"91","11-03-2020","Chhattisgarh","0","0","0","0",0
"101","11-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"111","11-03-2020","Delhi","5","0","0","0",5
"121","11-03-2020","Goa","0","0","0","0",0
"131","11-03-2020","Gujarat","0","0","0","0",0
"141","11-03-2020","Haryana","0","14","0","0",14
"151","11-03-2020","Himachal Pradesh","0","0","0","0",0
"161","11-03-2020","Jammu and Kashmir","1","0","0","0",1
"171","11-03-2020","Jharkhand","0","0","0","0",0
"181","11-03-2020","Karnataka","4","0","0","0",4
"191","11-03-2020","Kerala","17","0","0","0",17
"201","11-03-2020","Lakshadweep","0","0","0","0",0
"211","11-03-2020","Ladakh","2","0","0","0",2
"221","11-03-2020","Madhya Pradesh","0","0","0","0",0
"231","11-03-2020","Maharashtra","2","0","0","0",2
"241","11-03-2020","Manipur","0","0","0","0",0
"251","11-03-2020","Meghalaya","0","0","0","0",0
"261","11-03-2020","Mizoram","0","0","0","0",0
"271","11-03-2020","Nagaland","0","0","0","0",0
"281","11-03-2020","Odisha","0","0","0","0",0
"291","11-03-2020","Puducherry","0","0","0","0",0
"301","11-03-2020","Punjab","1","0","0","0",1
"311","11-03-2020","Rajasthan","1","2","0","0",3
"321","11-03-2020","Sikkim","0","0","0","0",0
"331","11-03-2020","Tamil Nadu","1","0","0","0",1
"341","11-03-2020","Telengana","1","0","0","0",1
"351","11-03-2020","Tripura","0","0","0","0",0
"361","11-03-2020","Uttarakhand","0","0","0","0",0
"371","11-03-2020","Uttar Pradesh","9","0","0","0",9
"381","11-03-2020","West Bengal","0","0","0","0",0
"310","12-03-2020","Andhra Pradesh","1","0","0","0",1
"42","12-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"52","12-03-2020","Arunachal Pradesh","0","0","0","0",0
"62","12-03-2020","Assam","0","0","0","0",0
"72","12-03-2020","Bihar","0","0","0","0",0
"82","12-03-2020","Chandigarh","0","0","0","0",0
"92","12-03-2020","Chhattisgarh","0","0","0","0",0
"102","12-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"112","12-03-2020","Delhi","6","0","0","0",6
"122","12-03-2020","Goa","0","0","0","0",0
"132","12-03-2020","Gujarat","0","0","0","0",0
"142","12-03-2020","Haryana","0","14","0","0",14
"152","12-03-2020","Himachal Pradesh","0","0","0","0",0
"162","12-03-2020","Jammu and Kashmir","1","0","0","0",1
"172","12-03-2020","Jharkhand","0","0","0","0",0
"182","12-03-2020","Karnataka","4","0","0","0",4
"192","12-03-2020","Kerala","17","0","3","0",17
"202","12-03-2020","Lakshadweep","0","0","0","0",0
"212","12-03-2020","Ladakh","3","0","0","0",3
"222","12-03-2020","Madhya Pradesh","0","0","0","0",0
"232","12-03-2020","Maharashtra","11","0","0","0",11
"242","12-03-2020","Manipur","0","0","0","0",0
"252","12-03-2020","Meghalaya","0","0","0","0",0
"262","12-03-2020","Mizoram","0","0","0","0",0
"272","12-03-2020","Nagaland","0","0","0","0",0
"282","12-03-2020","Odisha","0","0","0","0",0
"292","12-03-2020","Puducherry","0","0","0","0",0
"302","12-03-2020","Punjab","1","0","0","0",1
"312","12-03-2020","Rajasthan","1","2","0","0",3
"322","12-03-2020","Sikkim","0","0","0","0",0
"332","12-03-2020","Tamil Nadu","1","0","0","0",1
"342","12-03-2020","Telengana","1","0","0","0",1
"352","12-03-2020","Tripura","0","0","0","0",0
"362","12-03-2020","Uttarakhand","0","0","0","0",0
"372","12-03-2020","Uttar Pradesh","10","1","0","0",11
"382","12-03-2020","West Bengal","0","0","0","0",0
"313","13-03-2020","Andhra Pradesh","1","0","0","0",1
"43","13-03-2020","Andaman and Nicobar Islands","0","0","0","0",0
"53","13-03-2020","Arunachal Pradesh","0","0","0","0",0
"63","13-03-2020","Assam","0","0","0","0",0
"73","13-03-2020","Bihar","0","0","0","0",0
"83","13-03-2020","Chandigarh","0","0","0","0",0
"93","13-03-2020","Chhattisgarh","0","0","0","0",0
"103","13-03-2020","Dadra and Nagar Haveli","0","0","0","0",0
"113","13-03-2020","Delhi","6","0","0","0",6
"123","13-03-2020","Goa","0","0","0","0",0
"133","13-03-2020","Gujarat","0","0","0","0",0
"143","13-03-2020","Haryana","0","14","0","0",14
"153","13-03-2020","Himachal Pradesh","0","0","0","0",0
"163","13-03-2020","Jammu and Kashmir","1","0","0","0",1
"173","13-03-2020","Jharkhand","0","0","0","0",0
"183","13-03-2020","Karnataka","6","0","0","1",6
"193","13-03-2020","Kerala","19","0","3","0",19
"203","13-03-2020","Lakshadweep","0","0","0","0",0
"213","13-03-2020","Ladakh","3","0","0","0",3
"223","13-03-2020","Madhya Pradesh","0","0","0","0",0
"233","13-03-2020","Maharashtra","14","0","0","0",14
"243","13-03-2020","Manipur","0","0","0","0",0
"253","13-03-2020","Meghalaya","0","0","0","0",0
"263","13-03-2020","Mizoram","0","0","0","0",0
